monster,game,input,value,unit,source
agnaktor,MHGU,tolerance_sleep,180,status build-up points,https://raw.githubusercontent.com/gatheringhallstudios/MHGenDatabase/master/app/src/main/assets/databases/mhgu.db.zip
agnaktor,MHGU,tolerance_stun,200,status build-up points,https://raw.githubusercontent.com/gatheringhallstudios/MHGenDatabase/master/app/src/main/assets/databases/mhgu.db.zip
ahtal-ka,MHGU,base_hp,4900,HP,https://raw.githubusercontent.com/gatheringhallstudios/MHGenDatabase/master/app/src/main/assets/databases/mhgu.db.zip
ahtal-ka,MHGU,head_stagger,350,stagger threshold (raw),https://mhgu.kiranico.com/monster/6eaad
ahtal-ka,MHGU,hitzone_max_raw,70,raw hitzone percent (max over all Kiranico GU states),https://mhgu.kiranico.com/monster/6eaad
ahtal-ka,MHGU,size_base,1223.67,cm,https://mhgu.kiranico.com/monster/6eaad
ahtal-ka,MHGU,tolerance_paralysis,350,status build-up points,https://raw.githubusercontent.com/gatheringhallstudios/MHGenDatabase/master/app/src/main/assets/databases/mhgu.db.zip
ahtal-ka,MHGU,tolerance_poison,180,status build-up points,https://raw.githubusercontent.com/gatheringhallstudios/MHGenDatabase/master/app/src/main/assets/databases/mhgu.db.zip
ahtal-ka,MHGU,tolerance_sleep,350,status build-up points,https://raw.githubusercontent.com/gatheringhallstudios/MHGenDatabase/master/app/src/main/assets/databases/mhgu.db.zip
ahtal-ka,MHGU,tolerance_stun,150,status build-up points,https://raw.githubusercontent.com/gatheringhallstudios/MHGenDatabase/master/app/src/main/assets/databases/mhgu.db.zip
ajarakan,MHWilds,base_hp,5200,HP points,https://wilds.mhdb.io/en/monsters
ajarakan,MHWilds,enrage_attack_mult,1.1,multiplier (High Rank),https://raw.githubusercontent.com/robomeche/MHWilds-Database/main/monster/assets/json/MHWilds_Data_compact.json.gz
ajarakan,MHWilds,enrage_duration,120,seconds (High Rank),https://raw.githubusercontent.com/robomeche/MHWilds-Database/main/monster/assets/json/MHWilds_Data_compact.json.gz
ajarakan,MHWilds,enrage_speed_mult,1.05,motion-speed multiplier (High Rank),https://raw.githubusercontent.com/robomeche/MHWilds-Database/main/monster/assets/json/MHWilds_Data_compact.json.gz
ajarakan,MHWilds,enrage_trigger,1500,damage points (High Rank),https://raw.githubusercontent.com/robomeche/MHWilds-Database/main/monster/assets/json/MHWilds_Data_compact.json.gz
ajarakan,MHWilds,head_stagger,600,damage points (base),https://raw.githubusercontent.com/robomeche/MHWilds-Database/main/monster/assets/json/MHWilds_Data_compact.json.gz
ajarakan,MHWilds,hitzone_max_raw,50,"percent (robomeche Meat, default state max)",https://raw.githubusercontent.com/robomeche/MHWilds-Database/main/monster/assets/json/MHWilds_Data_compact.json.gz
ajarakan,MHWilds,size_base,1164.36,cm,https://wilds.mhdb.io/en/monsters
ajarakan,MHWilds,size_gold,1432.1628,cm,https://wilds.mhdb.io/en/monsters
ajarakan,MHWilds,tolerance_paralysis,180,status build-up points,https://raw.githubusercontent.com/robomeche/MHWilds-Database/main/monster/assets/json/MHWilds_Data_compact.json.gz
ajarakan,MHWilds,tolerance_poison,150,status build-up points,https://raw.githubusercontent.com/robomeche/MHWilds-Database/main/monster/assets/json/MHWilds_Data_compact.json.gz
ajarakan,MHWilds,tolerance_sleep,150,status build-up points,https://raw.githubusercontent.com/robomeche/MHWilds-Database/main/monster/assets/json/MHWilds_Data_compact.json.gz
ajarakan,MHWilds,tolerance_stun,120,stun (KO) build-up points,https://raw.githubusercontent.com/robomeche/MHWilds-Database/main/monster/assets/json/MHWilds_Data_compact.json.gz
akantor,MH4U,base_hp,6000,HP,https://kiranico.com/en/mh4u/monster/akantor
akantor,MHGU,base_hp,7100,HP,https://raw.githubusercontent.com/gatheringhallstudios/MHGenDatabase/master/app/src/main/assets/databases/mhgu.db.zip
akantor,MH4U,enrage_attack_mult,1.4,multiplier,https://kiranico.com/en/mh4u/monster/akantor
akantor,MH4U,enrage_duration,100,seconds,https://kiranico.com/en/mh4u/monster/akantor
akantor,MH4U,enrage_speed_mult,1.3,multiplier,https://kiranico.com/en/mh4u/monster/akantor
akantor,MH4U,head_stagger,260,damage,https://kiranico.com/en/mh4u/monster/akantor
akantor,MHGU,head_stagger,260,stagger threshold (raw),https://mhgu.kiranico.com/monster/678b6
akantor,MH4U,hitzone_max_raw,60,hitzone %,https://kiranico.com/en/mh4u/monster/akantor
akantor,MHGU,hitzone_max_raw,65,raw hitzone percent (max over all Kiranico GU states),https://mhgu.kiranico.com/monster/678b6
akantor,MHGU,size_base,3049,cm,https://mhgu.kiranico.com/monster/678b6
akantor,MH4U,tolerance_paralysis,350,status build-up points,https://kiranico.com/en/mh4u/monster/akantor
akantor,MHGU,tolerance_paralysis,350,status build-up points,https://raw.githubusercontent.com/gatheringhallstudios/MHGenDatabase/master/app/src/main/assets/databases/mhgu.db.zip
akantor,MH4U,tolerance_poison,400,status build-up points,https://kiranico.com/en/mh4u/monster/akantor
akantor,MHGU,tolerance_poison,400,status build-up points,https://raw.githubusercontent.com/gatheringhallstudios/MHGenDatabase/master/app/src/main/assets/databases/mhgu.db.zip
akantor,MH4U,tolerance_sleep,350,status build-up points,https://kiranico.com/en/mh4u/monster/akantor
akantor,MHGU,tolerance_sleep,350,status build-up points,https://raw.githubusercontent.com/gatheringhallstudios/MHGenDatabase/master/app/src/main/assets/databases/mhgu.db.zip
akantor,MH4U,tolerance_stun,200,status build-up points,https://kiranico.com/en/mh4u/monster/akantor
akantor,MHGU,tolerance_stun,200,status build-up points,https://raw.githubusercontent.com/gatheringhallstudios/MHGenDatabase/master/app/src/main/assets/databases/mhgu.db.zip
aknosom,MHRS,base_hp,4500,"HP (base_hp_vital, LR/HR)",https://mhrice.info/mhrice.json
aknosom,MHRS,enrage_attack_mult,1.1,multiplier,https://mhrice.info/mhrice.json
aknosom,MHRS,enrage_duration,90,seconds,https://mhrice.info/mhrice.json
aknosom,MHRS,enrage_speed_mult,1.1,motion-rate multiplier,https://mhrice.info/mhrice.json
aknosom,MHRS,enrage_trigger,1050,damage points (High Rank),https://mhrice.info/mhrice.json
aknosom,MHRS,head_stagger,250,"part vital (flinch value, LR/HR)",https://mhrice.info/mhrice.json
aknosom,MHRS,hitzone_max_raw,80,hitzone percent (max over all parts and phases),https://mhrice.info/mhrice.json
aknosom,MHRS,move_power_max,80,raw damage (max base_damage),https://mhrice.info/mhrice.json
aknosom,MHRS,size_base,998.33,cm,https://mhrice.info/mhrice.json
aknosom,MHRS,size_gold,1043.7540150000002,cm (base_size * king_boarder),https://mhrice.info/mhrice.json
aknosom,MHRS,tolerance_paralysis,180,status build-up points,https://mhrice.info/mhrice.json
aknosom,MHRS,tolerance_poison,150,status build-up points,https://mhrice.info/mhrice.json
aknosom,MHRS,tolerance_sleep,150,status build-up points,https://mhrice.info/mhrice.json
aknosom,MHRS,tolerance_stun,120,status build-up points,https://mhrice.info/mhrice.json
alatreon,MHGU,base_hp,6000,HP,https://raw.githubusercontent.com/gatheringhallstudios/MHGenDatabase/master/app/src/main/assets/databases/mhgu.db.zip
alatreon,MHWorld,base_hp,5000,HP,https://mhworld.kiranico.com/en/monsters/ErdcV/alatreon
alatreon,MHWorld,enrage_attack_mult,1.2,"multiplier (Low Rank/High Rank column, not Master Rank)",https://mhworld.kiranico.com/en/monsters/ErdcV/alatreon
alatreon,MHWorld,enrage_duration,150,"seconds (Low Rank/High Rank column, not Master Rank)",https://mhworld.kiranico.com/en/monsters/ErdcV/alatreon
alatreon,MHWorld,enrage_speed_mult,1.05,"multiplier (Low Rank/High Rank column, not Master Rank)",https://mhworld.kiranico.com/en/monsters/ErdcV/alatreon
alatreon,MHWorld,enrage_trigger,500,"damage points (Low Rank/High Rank column, not Master Rank)",https://mhworld.kiranico.com/en/monsters/ErdcV/alatreon
alatreon,MHGU,head_stagger,400,stagger threshold (raw),https://mhgu.kiranico.com/monster/6bd96
alatreon,MHWorld,head_stagger,555,"damage (Part Breakability, exact ""Head"" row)",https://mhworld.kiranico.com/en/monsters/ErdcV/alatreon
alatreon,MHGU,hitzone_max_raw,65,raw hitzone percent (max over all Kiranico GU states),https://mhgu.kiranico.com/monster/6bd96
alatreon,MHWorld,hitzone_max_raw,85,"raw hitzone % (max sever/blunt/shot over LR/HR Physiology rows, including state-variant parts e.g. ""Head (White)"", excluding Master Rank override rows)",https://mhworld.kiranico.com/en/monsters/ErdcV/alatreon
alatreon,MHWorld,move_power_max,75,motion value (max over Monster Attacks rows; poedb only lists a subset so is not used here),https://mhworld.kiranico.com/en/monsters/ErdcV/alatreon
alatreon,MHGU,size_base,2872.48,cm,https://mhgu.kiranico.com/monster/6bd96
alatreon,MHWorld,size_base,2969.63,cm (poedb Base; never derived as gold/1.23 — crown thresholds are per-monster),https://mhw.poedb.tw/eng/monster/87/Alatreon
alatreon,MHWorld,size_gold,3652.64,cm (gold crown threshold),https://mhworld.kiranico.com/en/monsters/ErdcV/alatreon
alatreon,MHGU,tolerance_paralysis,250,status build-up points,https://raw.githubusercontent.com/gatheringhallstudios/MHGenDatabase/master/app/src/main/assets/databases/mhgu.db.zip
alatreon,MHWorld,tolerance_paralysis,300,status build-up points,https://mhworld.kiranico.com/en/monsters/ErdcV/alatreon
alatreon,MHGU,tolerance_poison,180,status build-up points,https://raw.githubusercontent.com/gatheringhallstudios/MHGenDatabase/master/app/src/main/assets/databases/mhgu.db.zip
alatreon,MHWorld,tolerance_poison,300,status build-up points,https://mhworld.kiranico.com/en/monsters/ErdcV/alatreon
alatreon,MHGU,tolerance_sleep,250,status build-up points,https://raw.githubusercontent.com/gatheringhallstudios/MHGenDatabase/master/app/src/main/assets/databases/mhgu.db.zip
alatreon,MHWorld,tolerance_sleep,300,status build-up points,https://mhworld.kiranico.com/en/monsters/ErdcV/alatreon
alatreon,MHGU,tolerance_stun,200,status build-up points,https://raw.githubusercontent.com/gatheringhallstudios/MHGenDatabase/master/app/src/main/assets/databases/mhgu.db.zip
alatreon,MHWorld,tolerance_stun,200,status build-up points,https://mhworld.kiranico.com/en/monsters/ErdcV/alatreon
almudron,MHRS,base_hp,4500,"HP (base_hp_vital, LR/HR)",https://mhrice.info/mhrice.json
almudron,MHRS,enrage_attack_mult,1.1,multiplier,https://mhrice.info/mhrice.json
almudron,MHRS,enrage_duration,90,seconds,https://mhrice.info/mhrice.json
almudron,MHRS,enrage_speed_mult,1.1,motion-rate multiplier,https://mhrice.info/mhrice.json
almudron,MHRS,enrage_trigger,1050,damage points (High Rank),https://mhrice.info/mhrice.json
almudron,MHRS,head_stagger,300,"part vital (flinch value, LR/HR)",https://mhrice.info/mhrice.json
almudron,MHRS,hitzone_max_raw,100,hitzone percent (max over all parts and phases),https://mhrice.info/mhrice.json
almudron,MHRS,move_power_max,90,raw damage (max base_damage),https://mhrice.info/mhrice.json
almudron,MHRS,size_base,2694.5,cm,https://mhrice.info/mhrice.json
almudron,MHRS,size_gold,3314.235,cm (base_size * king_boarder),https://mhrice.info/mhrice.json
almudron,MHRS,tolerance_paralysis,180,status build-up points,https://mhrice.info/mhrice.json
almudron,MHRS,tolerance_poison,150,status build-up points,https://mhrice.info/mhrice.json
almudron,MHRS,tolerance_sleep,150,status build-up points,https://mhrice.info/mhrice.json
almudron,MHRS,tolerance_stun,150,status build-up points,https://mhrice.info/mhrice.json
amatsu,MHGU,base_hp,8700,HP,https://raw.githubusercontent.com/gatheringhallstudios/MHGenDatabase/master/app/src/main/assets/databases/mhgu.db.zip
amatsu,MHRS,base_hp,6000,"HP (base_hp_vital, LR/HR)",https://mhrice.info/mhrice.json
amatsu,MHRS,enrage_attack_mult,1.2,multiplier,https://mhrice.info/mhrice.json
amatsu,MHRS,enrage_duration,150,seconds,https://mhrice.info/mhrice.json
amatsu,MHRS,enrage_speed_mult,1.15,motion-rate multiplier,https://mhrice.info/mhrice.json
amatsu,MHRS,enrage_trigger,2000,damage points (High Rank),https://mhrice.info/mhrice.json
amatsu,MHGU,head_stagger,380,stagger threshold (raw),https://mhgu.kiranico.com/monster/69946
amatsu,MHRS,head_stagger,400,"part vital (flinch value, LR/HR)",https://mhrice.info/mhrice.json
amatsu,MHGU,hitzone_max_raw,80,raw hitzone percent (max over all Kiranico GU states),https://mhgu.kiranico.com/monster/69946
amatsu,MHRS,hitzone_max_raw,75,hitzone percent (max over all parts and phases),https://mhrice.info/mhrice.json
amatsu,MHRS,move_power_max,100,raw damage (max base_damage),https://mhrice.info/mhrice.json
amatsu,MHGU,size_base,2611.48,cm,https://mhgu.kiranico.com/monster/69946
amatsu,MHRS,size_base,3440.72,cm,https://mhrice.info/mhrice.json
amatsu,MHRS,size_gold,4232.085599999999,cm (base_size * king_boarder),https://mhrice.info/mhrice.json
amatsu,MHGU,tolerance_paralysis,250,status build-up points,https://raw.githubusercontent.com/gatheringhallstudios/MHGenDatabase/master/app/src/main/assets/databases/mhgu.db.zip
amatsu,MHRS,tolerance_paralysis,300,status build-up points,https://mhrice.info/mhrice.json
amatsu,MHGU,tolerance_poison,180,status build-up points,https://raw.githubusercontent.com/gatheringhallstudios/MHGenDatabase/master/app/src/main/assets/databases/mhgu.db.zip
amatsu,MHRS,tolerance_poison,250,status build-up points,https://mhrice.info/mhrice.json
amatsu,MHGU,tolerance_sleep,250,status build-up points,https://raw.githubusercontent.com/gatheringhallstudios/MHGenDatabase/master/app/src/main/assets/databases/mhgu.db.zip
amatsu,MHRS,tolerance_sleep,300,status build-up points,https://mhrice.info/mhrice.json
amatsu,MHGU,tolerance_stun,230,status build-up points,https://raw.githubusercontent.com/gatheringhallstudios/MHGenDatabase/master/app/src/main/assets/databases/mhgu.db.zip
amatsu,MHRS,tolerance_stun,300,status build-up points,https://mhrice.info/mhrice.json
ancient-leshen,MHWorld,base_hp,13500,HP,https://mhworld.kiranico.com/en/monsters/N3vuk/ancient-leshen
ancient-leshen,MHWorld,head_stagger,2000,"damage (Part Breakability, exact ""Head"" row)",https://mhworld.kiranico.com/en/monsters/N3vuk/ancient-leshen
ancient-leshen,MHWorld,hitzone_max_raw,65,"raw hitzone % (max sever/blunt/shot over LR/HR Physiology rows, including state-variant parts e.g. ""Head (White)"", excluding Master Rank override rows)",https://mhworld.kiranico.com/en/monsters/N3vuk/ancient-leshen
ancient-leshen,MHWorld,move_power_max,250,motion value (max over Monster Attacks rows; poedb only lists a subset so is not used here),https://mhworld.kiranico.com/en/monsters/N3vuk/ancient-leshen
ancient-leshen,MHWorld,size_base,633.81,cm (poedb Base; never derived as gold/1.23 — crown thresholds are per-monster),https://mhw.poedb.tw/eng/monster/51/Ancient%20Leshen
ancient-leshen,MHWorld,size_gold,779.59,cm (gold crown threshold),https://mhworld.kiranico.com/en/monsters/N3vuk/ancient-leshen
ancient-leshen,MHWorld,tolerance_paralysis,300,status build-up points,https://mhworld.kiranico.com/en/monsters/N3vuk/ancient-leshen
ancient-leshen,MHWorld,tolerance_poison,150,status build-up points,https://mhworld.kiranico.com/en/monsters/N3vuk/ancient-leshen
ancient-leshen,MHWorld,tolerance_stun,250,status build-up points,https://mhworld.kiranico.com/en/monsters/N3vuk/ancient-leshen
anjanath,MHRS,base_hp,4000,"HP (base_hp_vital, LR/HR)",https://mhrice.info/mhrice.json
anjanath,MHRS,enrage_attack_mult,1.1,multiplier,https://mhrice.info/mhrice.json
anjanath,MHRS,enrage_duration,130,seconds,https://mhrice.info/mhrice.json
anjanath,MHRS,enrage_speed_mult,1.14,motion-rate multiplier,https://mhrice.info/mhrice.json
anjanath,MHRS,enrage_trigger,750,damage points (High Rank),https://mhrice.info/mhrice.json
anjanath,MHRS,head_stagger,240,"part vital (flinch value, LR/HR)",https://mhrice.info/mhrice.json
anjanath,MHRS,hitzone_max_raw,80,hitzone percent (max over all parts and phases),https://mhrice.info/mhrice.json
anjanath,MHRS,move_power_max,120,raw damage (max base_damage),https://mhrice.info/mhrice.json
anjanath,MHRS,size_base,1646.46,cm,https://mhrice.info/mhrice.json
anjanath,MHRS,size_gold,2025.1458,cm (base_size * king_boarder),https://mhrice.info/mhrice.json
anjanath,MHRS,tolerance_paralysis,180,status build-up points,https://mhrice.info/mhrice.json
anjanath,MHRS,tolerance_poison,150,status build-up points,https://mhrice.info/mhrice.json
anjanath,MHRS,tolerance_sleep,150,status build-up points,https://mhrice.info/mhrice.json
anjanath,MHRS,tolerance_stun,150,status build-up points,https://mhrice.info/mhrice.json
apex-arzuros,MHRS,base_hp,4500,"HP (base_hp_vital, LR/HR)",https://mhrice.info/mhrice.json
apex-arzuros,MHRS,enrage_attack_mult,1.2,multiplier,https://mhrice.info/mhrice.json
apex-arzuros,MHRS,enrage_duration,80,seconds,https://mhrice.info/mhrice.json
apex-arzuros,MHRS,enrage_speed_mult,0.85,motion-rate multiplier,https://mhrice.info/mhrice.json
apex-arzuros,MHRS,enrage_trigger,900,damage points (High Rank),https://mhrice.info/mhrice.json
apex-arzuros,MHRS,head_stagger,300,"part vital (flinch value, LR/HR)",https://mhrice.info/mhrice.json
apex-arzuros,MHRS,hitzone_max_raw,70,hitzone percent (max over all parts and phases),https://mhrice.info/mhrice.json
apex-arzuros,MHRS,move_power_max,90,raw damage (max base_damage),https://mhrice.info/mhrice.json
apex-arzuros,MHRS,size_base,710.3,cm,https://mhrice.info/mhrice.json
apex-arzuros,MHRS,size_gold,745.8149999999999,cm (base_size * king_boarder),https://mhrice.info/mhrice.json
apex-arzuros,MHRS,tolerance_paralysis,300,status build-up points,https://mhrice.info/mhrice.json
apex-arzuros,MHRS,tolerance_poison,150,status build-up points,https://mhrice.info/mhrice.json
apex-arzuros,MHRS,tolerance_sleep,250,status build-up points,https://mhrice.info/mhrice.json
apex-arzuros,MHRS,tolerance_stun,150,status build-up points,https://mhrice.info/mhrice.json
apex-diablos,MHRS,base_hp,4800,"HP (base_hp_vital, LR/HR)",https://mhrice.info/mhrice.json
apex-diablos,MHRS,enrage_attack_mult,1.2,multiplier,https://mhrice.info/mhrice.json
apex-diablos,MHRS,enrage_duration,80,seconds,https://mhrice.info/mhrice.json
apex-diablos,MHRS,enrage_speed_mult,1.1,motion-rate multiplier,https://mhrice.info/mhrice.json
apex-diablos,MHRS,enrage_trigger,800,damage points (High Rank),https://mhrice.info/mhrice.json
apex-diablos,MHRS,head_stagger,400,"part vital (flinch value, LR/HR)",https://mhrice.info/mhrice.json
apex-diablos,MHRS,hitzone_max_raw,63,hitzone percent (max over all parts and phases),https://mhrice.info/mhrice.json
apex-diablos,MHRS,move_power_max,140,raw damage (max base_damage),https://mhrice.info/mhrice.json
apex-diablos,MHRS,size_base,2270.94,cm,https://mhrice.info/mhrice.json
apex-diablos,MHRS,size_gold,2793.2562,cm (base_size * king_boarder),https://mhrice.info/mhrice.json
apex-diablos,MHRS,tolerance_paralysis,300,status build-up points,https://mhrice.info/mhrice.json
apex-diablos,MHRS,tolerance_poison,150,status build-up points,https://mhrice.info/mhrice.json
apex-diablos,MHRS,tolerance_sleep,250,status build-up points,https://mhrice.info/mhrice.json
apex-diablos,MHRS,tolerance_stun,150,status build-up points,https://mhrice.info/mhrice.json
apex-mizutsune,MHRS,base_hp,5100,"HP (base_hp_vital, LR/HR)",https://mhrice.info/mhrice.json
apex-mizutsune,MHRS,enrage_attack_mult,1.15,multiplier,https://mhrice.info/mhrice.json
apex-mizutsune,MHRS,enrage_duration,999,seconds,https://mhrice.info/mhrice.json
apex-mizutsune,MHRS,enrage_speed_mult,1.1,motion-rate multiplier,https://mhrice.info/mhrice.json
apex-mizutsune,MHRS,enrage_trigger,1150,damage points (High Rank),https://mhrice.info/mhrice.json
apex-mizutsune,MHRS,head_stagger,450,"part vital (flinch value, LR/HR)",https://mhrice.info/mhrice.json
apex-mizutsune,MHRS,hitzone_max_raw,73,hitzone percent (max over all parts and phases),https://mhrice.info/mhrice.json
apex-mizutsune,MHRS,move_power_max,120,raw damage (max base_damage),https://mhrice.info/mhrice.json
apex-mizutsune,MHRS,size_base,2198.52,cm,https://mhrice.info/mhrice.json
apex-mizutsune,MHRS,size_gold,2506.3127999999997,cm (base_size * king_boarder),https://mhrice.info/mhrice.json
apex-mizutsune,MHRS,tolerance_paralysis,300,status build-up points,https://mhrice.info/mhrice.json
apex-mizutsune,MHRS,tolerance_poison,150,status build-up points,https://mhrice.info/mhrice.json
apex-mizutsune,MHRS,tolerance_sleep,250,status build-up points,https://mhrice.info/mhrice.json
apex-mizutsune,MHRS,tolerance_stun,150,status build-up points,https://mhrice.info/mhrice.json
apex-rathalos,MHRS,base_hp,5100,"HP (base_hp_vital, LR/HR)",https://mhrice.info/mhrice.json
apex-rathalos,MHRS,enrage_attack_mult,1.2,multiplier,https://mhrice.info/mhrice.json
apex-rathalos,MHRS,enrage_duration,80,seconds,https://mhrice.info/mhrice.json
apex-rathalos,MHRS,enrage_speed_mult,1.15,motion-rate multiplier,https://mhrice.info/mhrice.json
apex-rathalos,MHRS,enrage_trigger,800,damage points (High Rank),https://mhrice.info/mhrice.json
apex-rathalos,MHRS,head_stagger,290,"part vital (flinch value, LR/HR)",https://mhrice.info/mhrice.json
apex-rathalos,MHRS,hitzone_max_raw,80,hitzone percent (max over all parts and phases),https://mhrice.info/mhrice.json
apex-rathalos,MHRS,move_power_max,200,raw damage (max base_damage),https://mhrice.info/mhrice.json
apex-rathalos,MHRS,size_base,1874.64,cm,https://mhrice.info/mhrice.json
apex-rathalos,MHRS,size_gold,2305.8072,cm (base_size * king_boarder),https://mhrice.info/mhrice.json
apex-rathalos,MHRS,tolerance_paralysis,300,status build-up points,https://mhrice.info/mhrice.json
apex-rathalos,MHRS,tolerance_poison,250,status build-up points,https://mhrice.info/mhrice.json
apex-rathalos,MHRS,tolerance_sleep,250,status build-up points,https://mhrice.info/mhrice.json
apex-rathalos,MHRS,tolerance_stun,150,status build-up points,https://mhrice.info/mhrice.json
apex-rathian,MHRS,base_hp,4500,"HP (base_hp_vital, LR/HR)",https://mhrice.info/mhrice.json
apex-rathian,MHRS,enrage_attack_mult,1.2,multiplier,https://mhrice.info/mhrice.json
apex-rathian,MHRS,enrage_duration,80,seconds,https://mhrice.info/mhrice.json
apex-rathian,MHRS,enrage_speed_mult,1.08,motion-rate multiplier,https://mhrice.info/mhrice.json
apex-rathian,MHRS,enrage_trigger,1150,damage points (High Rank),https://mhrice.info/mhrice.json
apex-rathian,MHRS,head_stagger,290,"part vital (flinch value, LR/HR)",https://mhrice.info/mhrice.json
apex-rathian,MHRS,hitzone_max_raw,70,hitzone percent (max over all parts and phases),https://mhrice.info/mhrice.json
apex-rathian,MHRS,move_power_max,75,raw damage (max base_damage),https://mhrice.info/mhrice.json
apex-rathian,MHRS,size_base,2017.53,cm,https://mhrice.info/mhrice.json
apex-rathian,MHRS,size_gold,2299.9842,cm (base_size * king_boarder),https://mhrice.info/mhrice.json
apex-rathian,MHRS,tolerance_paralysis,300,status build-up points,https://mhrice.info/mhrice.json
apex-rathian,MHRS,tolerance_poison,250,status build-up points,https://mhrice.info/mhrice.json
apex-rathian,MHRS,tolerance_sleep,250,status build-up points,https://mhrice.info/mhrice.json
apex-rathian,MHRS,tolerance_stun,150,status build-up points,https://mhrice.info/mhrice.json
apex-zinogre,MHRS,base_hp,4500,"HP (base_hp_vital, LR/HR)",https://mhrice.info/mhrice.json
apex-zinogre,MHRS,enrage_attack_mult,1.2,multiplier,https://mhrice.info/mhrice.json
apex-zinogre,MHRS,enrage_duration,70,seconds,https://mhrice.info/mhrice.json
apex-zinogre,MHRS,enrage_speed_mult,1.15,motion-rate multiplier,https://mhrice.info/mhrice.json
apex-zinogre,MHRS,enrage_trigger,1050,damage points (High Rank),https://mhrice.info/mhrice.json
apex-zinogre,MHRS,head_stagger,300,"part vital (flinch value, LR/HR)",https://mhrice.info/mhrice.json
apex-zinogre,MHRS,hitzone_max_raw,70,hitzone percent (max over all parts and phases),https://mhrice.info/mhrice.json
apex-zinogre,MHRS,move_power_max,256,raw damage (max base_damage),https://mhrice.info/mhrice.json
apex-zinogre,MHRS,size_base,1540.66,cm,https://mhrice.info/mhrice.json
apex-zinogre,MHRS,size_gold,1895.0118,cm (base_size * king_boarder),https://mhrice.info/mhrice.json
apex-zinogre,MHRS,tolerance_paralysis,300,status build-up points,https://mhrice.info/mhrice.json
apex-zinogre,MHRS,tolerance_poison,150,status build-up points,https://mhrice.info/mhrice.json
apex-zinogre,MHRS,tolerance_sleep,250,status build-up points,https://mhrice.info/mhrice.json
